stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,stim9,stim10,stim11,stim12,lz13,lz14,lz15,lz16,lz17,bf18,bf19,bf20,bf21,bf22,bf23,bf24,bf25,bf26,bf27,bf28,bf29,bf30,bf31,bf32,bf33,bf34,bf35,bf36,bf37,pro38,pro39,pro40,pro41,pro42,pro43,pro44,pro45,pro46,pro47,sz48,sz49,sz50,sz51,sz52,sz53,sz54,sz55,sz56,uni1,uni2,uni3,uni4,lz
4,2,4,1,3,3,4,4,4,4,2,3,5,6,6,6,5,4,4,4,4,3,4,3,4,3,3,4,4,4,3,4,3,4,3,4,3,4,2,2,3,2,2,3,3,3,3,3,4,2,3,2,3,3,2,3,1,2,1,2,5.75
4,2,4,2,2,3,4,4,4,2,2,3,4,4,6,6,5,4,5,4,5,4,4,4,4,4,5,4,5,4,3,4,4,5,4,5,4,3,2,1,3,3,2,3,3,4,4,4,3,4,4,3,2,4,2,3,2,2,2,2,5.25
4,4,3,2,2,3,2,4,3,2,2,2,5,6,5,6,6,2,3,2,4,4,3,3,3,5,5,3,5,3,4,3,2,4,4,4,2,2,2,2,2,2,3,3,4,3,4,3,4,4,3,2,1,4,4,3,2,2,2,1,5.75
3,2,2,2,2,3,4,2,3,2,3,3,2,4,2,4,1,3,4,4,4,4,3,4,3,4,4,4,2,3,4,3,3,3,4,5,5,4,3,1,4,1,2,2,2,4,4,4,4,3,4,2,1,4,4,2,1,1,1,1,2.75
2,1,3,4,5,3,5,3,3,1,4,3,7,5,7,6,6,5,5,4,4,4,5,4,5,4,4,5,3,4,3,4,5,4,4,2,5,2,4,3,1,4,1,4,3,2,1,3,4,1,4,1,1,4,1,2,1,1,2,2,6
4,3,2,2,2,3,2,4,2,4,2,4,7,4,6,4,4,5,4,4,4,4,4,3,4,4,5,3,2,4,3,4,2,5,4,3,3,3,3,1,4,3,2,2,4,3,2,4,2,2,4,1,2,4,2,2,2,1,1,1,4.5
4,3,3,3,3,3,3,4,3,3,3,3,4,5,4,5,6,3,3,5,2,4,3,5,3,4,2,5,4,3,4,3,4,3,3,2,5,2,3,3,2,4,2,3,4,1,1,3,2,2,3,2,2,4,2,2,1,1,1,2,5
2,2,3,2,3,4,4,4,3,2,3,4,2,2,4,2,7,3,4,3,4,3,3,3,4,3,4,3,2,2,3,3,1,3,3,3,3,3,2,2,3,2,2,3,3,3,2,3,3,3,3,3,2,3,3,3,1,1,1,1,3.75
4,3,3,3,4,2,4,4,2,3,3,4,5,5,5,5,5,4,3,3,4,4,4,3,4,4,3,3,4,4,4,4,4,4,4,4,4,2,3,3,3,3,2,3,3,2,2,3,2,2,3,1,2,3,1,3,1,2,2,2,5
4,4,3,2,2,4,2,4,2,3,2,4,5,4,6,3,5,3,4,2,3,4,4,2,4,4,3,2,2,-999,4,4,3,4,3,4,2,3,2,1,3,2,3,2,2,3,3,3,2,2,2,1,1,4,2,2,1,1,2,1,4.5
2,2,4,2,3,1,4,3,4,4,3,2,4,5,3,5,5,2,3,4,5,4,2,3,5,4,5,5,5,4,3,3,4,5,4,4,3,4,2,1,4,3,3,2,3,4,3,3,2,1,3,2,4,3,2,4,2,2,1,1,4.5
4,2,2,3,3,2,3,3,2,4,3,2,5,4,6,7,3,5,5,3,1,4,4,3,2,4,2,3,2,4,4,4,3,5,4,2,4,2,3,3,4,4,2,2,4,3,4,4,4,3,4,2,3,4,3,4,2,2,2,1,5
4,3,2,1,3,4,3,4,1,3,2,3,6,7,6,7,6,4,4,4,3,3,4,3,3,3,4,4,2,3,2,4,3,4,3,3,4,4,3,2,2,3,2,2,3,2,4,3,1,1,3,2,1,4,1,2,1,2,1,1,6.5
4,4,5,1,1,2,2,5,3,5,1,3,6,6,6,5,7,5,5,5,3,3,5,5,5,3,3,5,1,5,2,5,4,5,2,3,5,2,3,3,2,4,2,4,3,2,1,4,4,2,4,2,1,4,1,3,2,1,1,1,6
4,3,1,1,1,4,2,5,1,4,1,5,6,7,6,7,6,3,4,4,3,4,5,4,4,4,4,4,3,3,3,4,3,3,3,3,4,2,3,3,2,3,1,3,3,2,3,4,3,2,4,1,1,4,2,1,1,2,2,2,6.5
4,3,4,3,2,2,3,4,4,3,2,2,7,5,6,7,5,3,4,5,4,4,2,5,3,4,4,5,5,3,4,3,4,3,4,5,5,2,4,4,2,4,2,4,3,2,3,4,2,2,4,2,3,4,3,4,1,2,2,1,5.75
4,3,2,1,3,4,3,4,2,2,1,3,6,6,6,7,7,4,4,3,4,4,4,3,3,5,5,4,3,4,4,4,5,4,4,4,3,3,3,2,2,3,2,3,3,2,2,3,2,3,3,3,3,4,3,4,2,2,1,1,6.5
4,3,2,1,2,4,4,4,1,4,2,3,5,6,5,3,3,3,4,3,4,3,5,3,4,4,4,3,2,3,3,4,3,4,3,2,4,4,2,1,4,1,2,2,2,4,4,3,1,2,4,1,1,3,1,3,1,1,1,1,4.25
2,2,3,1,3,3,4,4,2,2,2,3,4,5,5,6,4,2,3,2,5,4,3,2,2,4,5,4,5,5,3,4,3,2,3,5,2,3,1,2,3,3,3,2,3,4,4,3,2,2,3,2,1,2,2,3,2,1,2,1,5
